h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
2.2,2.6390158215457893,92.6294553362572,0.12125732532083182,0.26676611570583003,0.302764384160452,0.6907878251871138,2.0,96.21222240873564,65.19882872213984,350.0,1.9999999956970373,0.00043029626249335706,completed,,226,The solver successfully reached the end of the integration interval.
2.4000000000000004,2.6390158215457893,92.6294553362572,0.12125732532083182,0.2910175807699964,0.302764384160452,0.7150392902512802,2.0,97.64449056555387,68.48959297253721,350.0,1.9999999955606353,0.0004439364711288363,completed,,223,The solver successfully reached the end of the integration interval.
2.6,2.6390158215457893,92.6294553362572,0.12125732532083182,0.31526904583416276,0.302764384160452,0.7392907553154466,2.0,98.33046859786452,71.44869537077957,350.0,1.9999999954165053,0.00045834947377443314,completed,,219,The solver successfully reached the end of the integration interval.
2.8,2.6390158215457893,92.6294553362572,0.12125732532083182,0.3395205108983291,0.302764384160452,0.763542220379613,2.0,98.65769366617239,74.18161566693688,350.0,1.9999999952660201,0.00047339798766188323,completed,,223,The solver successfully reached the end of the integration interval.
2.9968749999999997,2.6390158215457893,92.6294553362572,0.12125732532083182,0.3633930468208678,0.302764384160452,0.7874147563021516,2.0,98.83582147479076,76.69629500668938,350.0,1.999999995112677,0.0004887323011644185,completed,,222,The solver successfully reached the end of the integration interval.
3.0,2.6390158215457893,92.6294553362572,0.12125732532083182,0.36377197596249544,0.302764384160452,0.7877936854437793,2.0,98.83806892470483,76.7348823447281,350.0,1.9999999951102068,0.0004889793344773352,completed,,222,The solver successfully reached the end of the integration interval.
3.2,2.6390158215457893,92.6294553362572,0.12125732532083182,0.38802344102666186,0.302764384160452,0.8120451505079456,2.0,98.9616671791337,79.11763205728751,350.0,1.9999999949497371,0.000505026284372434,completed,,219,The solver successfully reached the end of the integration interval.
3.4000000000000004,2.6390158215457893,92.6294553362572,0.12125732532083182,0.41227490609082823,0.302764384160452,0.8362966155721121,2.0,99.06110168671415,81.32463432912395,350.0,1.9999999947850295,0.0005214970442466438,completed,,221,The solver successfully reached the end of the integration interval.
3.6,2.6390158215457893,92.6294553362572,0.12125732532083182,0.43652637115499454,0.302764384160452,0.8605480806362784,2.0,99.146999763609,83.34870224968887,350.0,1.999999994616365,0.0005383634997997433,completed,,193,The solver successfully reached the end of the integration interval.
3.8000000000000003,2.6390158215457893,92.6294553362572,0.12125732532083182,0.46077783621916096,0.302764384160452,0.8847995457004447,2.0,99.22340470156392,85.18603581887683,350.0,1.999999994443966,0.0005556034157052636,completed,,195,The solver successfully reached the end of the integration interval.
