inlet_temperature_c,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_methane_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,status,terminal_event,solver_function_evaluations,message
362.5,5.8999999999999995,95.59971585043122,87.32472616469104,558.8877403469774,5.8488091708584955,completed,,563,The solver successfully reached the end of the integration interval.
370.0,5.8999999999999995,95.11637773187022,86.53854950112593,564.3375617000853,5.848426500030045,completed,,562,The solver successfully reached the end of the integration interval.
377.5,5.8999999999999995,94.59817171683248,85.73230355142931,569.71531125198,5.848050048416266,completed,,564,The solver successfully reached the end of the integration interval.
385.0,5.8999999999999995,94.04466661023547,84.90685545822986,575.0157706565728,5.847679036157554,completed,,538,The solver successfully reached the end of the integration interval.
392.5,5.8999999999999995,93.45557053578236,84.06300040884292,580.2569487180389,5.847312816023248,completed,,550,The solver successfully reached the end of the integration interval.
400.0,5.8999999999999995,92.8307325193875,83.20147530712225,585.4321326694346,5.846950865052466,completed,,565,The solver successfully reached the end of the integration interval.
250.0,6.6,99.27645205468734,95.35107074712049,464.84993856461494,6.561495801732015,completed,,640,The solver successfully reached the end of the integration interval.
257.5,6.6,99.28074235716488,95.64686704494257,472.0350354306047,6.560671245757862,completed,,650,The solver successfully reached the end of the integration interval.
265.0,6.6,99.22739594349187,95.58856116420709,479.2385321410444,6.559944994228834,completed,,655,The solver successfully reached the end of the integration interval.
272.5,6.6,99.13174194468193,95.30696216356299,486.37386920295137,6.559299707470378,completed,,678,The solver successfully reached the end of the integration interval.
280.0,6.6,99.00659921882286,94.9105843186068,493.3845892114923,6.558719528165624,completed,,684,The solver successfully reached the end of the integration interval.
287.5,6.6,98.8584221171003,94.45647047654097,500.2406863863598,6.558190644513141,completed,,680,The solver successfully reached the end of the integration interval.
295.0,6.6,98.68828899444453,93.96288752871558,506.9308867980035,6.557701927105401,completed,,663,The solver successfully reached the end of the integration interval.
302.5,6.6,98.49520636878455,93.43443212821849,513.4558891635064,6.55724483675521,completed,,659,The solver successfully reached the end of the integration interval.
310.0,6.6,98.27782170257723,92.87334763034988,519.8251286487324,6.556812894090788,completed,,635,The solver successfully reached the end of the integration interval.
