panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.4222222222222222,N2,0.799,0.3466666666666667,0.4222222222222222,0.799,1.5678888888888889,40.468206491613955,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.4222222222222222,N2,0.799,0.35555555555555557,0.4222222222222222,0.799,1.5767777777777778,39.61855428739218,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.4222222222222222,N2,0.799,0.36444444444444446,0.4222222222222222,0.799,1.5856666666666668,38.800172242961104,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.4222222222222222,N2,0.799,0.37333333333333335,0.4222222222222222,0.799,1.5945555555555555,38.011456837909506,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.4222222222222222,N2,0.799,0.38222222222222224,0.4222222222222222,0.799,1.6034444444444444,37.25090356506607,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.4222222222222222,N2,0.799,0.39111111111111113,0.4222222222222222,0.799,1.6123333333333334,36.517101876329036,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.4222222222222222,N2,0.799,0.4,0.4222222222222222,0.799,1.6212222222222223,35.808727747558756,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.4777777777777778,N2,0.799,0.24,0.4777777777777778,0.799,1.5167777777777778,59.7051055993201,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.4777777777777778,N2,0.799,0.24888888888888888,0.4777777777777778,0.799,1.5256666666666667,58.255282633744955,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.4777777777777778,N2,0.799,0.2577777777777778,0.4777777777777778,0.799,1.5345555555555557,56.8609292064093,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.4777777777777778,N2,0.799,0.26666666666666666,0.4777777777777778,0.799,1.5434444444444444,55.519910771232325,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.4777777777777778,N2,0.799,0.27555555555555555,0.4777777777777778,0.799,1.5523333333333333,54.23012623634483,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.4777777777777778,N2,0.799,0.28444444444444444,0.4777777777777778,0.799,1.5612222222222223,52.98935371047643,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.4777777777777778,N2,0.799,0.29333333333333333,0.4777777777777778,0.799,1.5701111111111112,51.79542946692464,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.4777777777777778,N2,0.799,0.3022222222222222,0.4777777777777778,0.799,1.5790000000000002,50.6462512725811,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.4777777777777778,N2,0.799,0.3111111111111111,0.4777777777777778,0.799,1.587888888888889,49.53979090599451,completed,The solver successfully reached the end of the integration interval.
